chapter,hs6_code,description,source_file
07,070110,Seed,0207_2022e.pdf
07,070190,Other,0207_2022e.pdf
07,070200,"Tomatoes, fresh or chilled",0207_2022e.pdf
07,070310,Onions and shallots,0207_2022e.pdf
07,070320,Garlic,0207_2022e.pdf
07,070390,Leeks and other alliaceous vegetables,0207_2022e.pdf
07,070410,Cauliflowers and broccoli,0207_2022e.pdf
07,070420,Brussels sprouts,0207_2022e.pdf
07,070490,Other,0207_2022e.pdf
07,070511,Cabbage lettuce (head lettuce),0207_2022e.pdf
07,070519,Other,0207_2022e.pdf
07,070521,Witloof chicory (Cichorium intybus var. foliosum),0207_2022e.pdf
07,070529,Other,0207_2022e.pdf
07,070610,Carrots and turnips,0207_2022e.pdf
07,070690,Other,0207_2022e.pdf
07,070700,"Cucumbers and gherkins, fresh or chilled",0207_2022e.pdf
07,070810,Peas (Pisum sativum),0207_2022e.pdf
07,070820,"Beans (Vigna spp., Phaseolus spp.)",0207_2022e.pdf
07,070890,Other leguminous vegetables,0207_2022e.pdf
07,070920,Asparagus,0207_2022e.pdf
07,070930,Aubergines (egg-plants),0207_2022e.pdf
07,070940,Celery other than celeriac,0207_2022e.pdf
07,070951,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,070952,Mushrooms of the genus Boletus,0207_2022e.pdf
07,070953,Mushrooms of the genus Cantharellus,0207_2022e.pdf
07,070954,Shiitake (Lentinus edodes),0207_2022e.pdf
07,070955,"Matsutake ( Tricholoma matsutake, Tricholoma magnivelare,",0207_2022e.pdf
07,070956,Truffles (Tuber spp.),0207_2022e.pdf
07,070959,Other,0207_2022e.pdf
07,070960,Fruits of the genus Capsicum or of the genus Pimenta,0207_2022e.pdf
07,070970,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0207_2022e.pdf
07,070991,Globe artichokes,0207_2022e.pdf
07,070992,Olives,0207_2022e.pdf
07,070993,"Pumpkins, squash and gourds (Cucurbita spp.)",0207_2022e.pdf
07,070999,Other,0207_2022e.pdf
07,071010,Potatoes,0207_2022e.pdf
07,071021,Peas (Pisum sativum),0207_2022e.pdf
07,071022,"Beans (Vigna spp., Phaseolus spp.)",0207_2022e.pdf
07,071029,Other,0207_2022e.pdf
07,071030,"Spinach, New Zealand spinach and orache spinach (garden spinach)",0207_2022e.pdf
07,071040,Sweet corn,0207_2022e.pdf
07,071080,Other vegetables,0207_2022e.pdf
07,071090,Mixtures of vegetables,0207_2022e.pdf
07,071120,Olives,0207_2022e.pdf
07,071140,Cucumbers and gherkins,0207_2022e.pdf
07,071151,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,071159,Other,0207_2022e.pdf
07,071190,Other vegetables; mixtures of vegetables,0207_2022e.pdf
07,071220,Onions,0207_2022e.pdf
07,071231,Mushrooms of the genus Agaricus,0207_2022e.pdf
07,071232,Wood ears (Auricularia spp.),0207_2022e.pdf
07,071233,Jelly fungi (Tremella spp.),0207_2022e.pdf
07,071234,Shiitake (Lentinus edodes),0207_2022e.pdf
07,071239,Other,0207_2022e.pdf
07,071290,Other vegetables; mixtures of vegetables,0207_2022e.pdf
07,071310,Peas (Pisum sativum),0207_2022e.pdf
07,071320,Chickpeas (garbanzos),0207_2022e.pdf
07,071331,Beans of the species Vigna mungo (L.) Hepper or Vigna radiata,0207_2022e.pdf
07,071332,Small red (Adzuki) beans (Phaseolus or Vigna angularis),0207_2022e.pdf
07,071333,"Kidney beans, including white pea beans (Phaseolus vulgaris)",0207_2022e.pdf
07,071334,Bambara beans (Vigna subterranea or Voandzeia subterranea),0207_2022e.pdf
07,071335,Cow peas (Vigna unguiculata),0207_2022e.pdf
07,071339,Other,0207_2022e.pdf
07,071340,Lentils,0207_2022e.pdf
07,071350,Broad beans ( Vicia faba var. major ) and horse beans ( Vicia faba,0207_2022e.pdf
